"AIQ","HCI","SD","BF","BFactions","D","EL","AGNT","InitialQ","Lambda","alpha","epsilon","EDL","gamma"
 43.9,  0.5, 24.5, BF,5, 1.0, 1000, Q_l,0.0,0.01,0.085,0.02,0,0.56
 44.2,  0.5, 24.6, BF,5, 1.0, 1000, Q_l,0.0,0.025,0.08,0.015,0,0.675
 43.7,  0.5, 24.6, BF,5, 1.0, 1000, Q_l,0.0,0.04,0.38,0.005,0,0.945
 45.3,  0.5, 25.1, BF,5, 1.0, 1000, Q_l,0.0,0.05,0.25,0.01,0,0.6
 45.2,  0.5, 24.2, BF,5, 1.0, 1000, Q_l,0.0,0.05,0.285,0.01,0,0.77
 45.4,  0.5, 24.4, BF,5, 1.0, 1000, Q_l,0.0,0.06,0.57,0.005,0,0.845
 44.7,  0.5, 24.2, BF,5, 1.0, 1000, Q_l,0.0,0.07,0.27,0.01,0,0.905
 46.4,  0.5, 24.5, BF,5, 1.0, 1000, Q_l,0.0,0.075,0.57,0.005,0,0.75
 47.3,  0.5, 24.6, BF,5, 1.0, 1000, Q_l,0.0,0.075,0.57,0.01,0,0.83
 45.0,  0.5, 24.6, BF,5, 1.0, 1000, Q_l,0.0,0.1,0.175,0.015,0,0.715
 45.5,  0.5, 24.4, BF,5, 1.0, 1000, Q_l,0.0,0.1,0.325,0.01,0,0.69
 45.0,  0.5, 24.6, BF,5, 1.0, 1000, Q_l,0.0,0.11,0.16,0.015,0,0.74
 47.9,  0.5, 24.2, BF,5, 1.0, 1000, Q_l,0.0,0.11,0.43,0.01,0,0.67
 43.8,  0.5, 23.7, BF,5, 1.0, 1000, Q_l,0.0,0.125,0.14,0.03,0,0.84
 45.7,  0.5, 24.0, BF,5, 1.0, 1000, Q_l,0.0,0.125,0.635,0.015,0,0.94
 43.7,  0.5, 24.8, BF,5, 1.0, 1000, Q_l,0.0,0.13,0.16,0.015,0,0.88
 44.4,  0.5, 23.8, BF,5, 1.0, 1000, Q_l,0.0,0.13,0.16,0.025,0,0.88
 45.4,  0.5, 24.7, BF,5, 1.0, 1000, Q_l,0.0,0.13,0.325,0.01,0,0.62
 45.0,  0.5, 24.7, BF,5, 1.0, 1000, Q_l,0.0,0.135,0.325,0.01,0,0.805
 48.2,  0.5, 25.0, BF,5, 1.0, 1000, Q_l,0.0,0.135,0.48,0.015,0,0.79
 46.5,  0.5, 25.6, BF,5, 1.0, 1000, Q_l,0.0,0.155,0.57,0.005,0,0.755
 44.7,  0.5, 24.2, BF,5, 1.0, 1000, Q_l,0.0,0.175,0.075,0.02,0,0.68
 45.3,  0.5, 24.8, BF,5, 1.0, 1000, Q_l,0.0,0.185,0.155,0.025,0,0.6
 44.7,  0.5, 24.5, BF,5, 1.0, 1000, Q_l,0.0,0.195,0.48,0.005,0,0.95
 47.6,  0.5, 24.2, BF,5, 1.0, 1000, Q_l,0.0,0.205,0.745,0.01,0,0.83
