"AIQ","HCI","SD","BF","BFactions","D","EL","AGNT","InitialQ","Lambda","alpha","epsilon","EDL","gamma"
 44.1,  0.5, 24.3, BF,5, 1.0, 1000, Q_l,0.0,0.01,0.115,0.02,0,0.74
 44.4,  0.5, 25.4, BF,5, 1.0, 1000, Q_l,0.0,0.03,0.27,0.005,0,0.8
 43.8,  0.5, 25.4, BF,5, 1.0, 1000, Q_l,0.0,0.03,0.475,0.005,0,0.91
 44.7,  0.5, 25.3, BF,5, 1.0, 1000, Q_l,0.0,0.055,0.335,0.005,0,0.815
 46.6,  0.5, 23.6, BF,5, 1.0, 1000, Q_l,0.0,0.055,0.46,0.01,0,0.75
 45.8,  0.5, 25.3, BF,5, 1.0, 1000, Q_l,0.0,0.085,0.31,0.01,0,0.655
 44.5,  0.5, 24.7, BF,5, 1.0, 1000, Q_l,0.0,0.105,0.345,0.01,0,0.915
 44.6,  0.5, 24.5, BF,5, 1.0, 1000, Q_l,0.0,0.11,0.21,0.025,0,0.79
 44.8,  0.5, 25.6, BF,5, 1.0, 1000, Q_l,0.0,0.11,0.305,0.005,0,0.66
 46.4,  0.5, 25.1, BF,5, 1.0, 1000, Q_l,0.0,0.11,0.305,0.01,0,0.66
 44.5,  0.5, 24.9, BF,5, 1.0, 1000, Q_l,0.0,0.11,0.305,0.01,0,0.75
 44.4,  0.5, 25.3, BF,5, 1.0, 1000, Q_l,0.0,0.11,0.305,0.01,0,0.78
 44.3,  0.5, 25.4, BF,5, 1.0, 1000, Q_l,0.0,0.11,0.305,0.01,0,0.815
 44.8,  0.5, 25.1, BF,5, 1.0, 1000, Q_l,0.0,0.11,0.36,0.005,0,0.64
 45.1,  0.5, 24.0, BF,5, 1.0, 1000, Q_l,0.0,0.11,0.415,0.01,0,0.78
 41.7,  0.5, 24.5, BF,5, 1.0, 1000, Q_l,0.0,0.11,0.71,0.005,0,0.995
 46.1,  0.5, 25.3, BF,5, 1.0, 1000, Q_l,0.0,0.11,0.82,0.005,0,0.875
 44.5,  0.5, 24.1, BF,5, 1.0, 1000, Q_l,0.0,0.125,0.37,0.02,0,0.93
 45.6,  0.5, 24.7, BF,5, 1.0, 1000, Q_l,0.0,0.125,0.485,0.01,0,0.93
 44.9,  0.5, 23.7, BF,5, 1.0, 1000, Q_l,0.0,0.125,0.485,0.015,0,0.93
 44.6,  0.5, 24.6, BF,5, 1.0, 1000, Q_l,0.0,0.13,0.15,0.015,0,0.725
 47.9,  0.5, 24.5, BF,5, 1.0, 1000, Q_l,0.0,0.145,0.22,0.02,0,0.545
 46.9,  0.5, 24.8, BF,5, 1.0, 1000, Q_l,0.0,0.145,0.22,0.02,0,0.69
 43.9,  0.5, 23.9, BF,5, 1.0, 1000, Q_l,0.0,0.155,0.105,0.02,0,0.875
 44.0,  0.5, 24.0, BF,5, 1.0, 1000, Q_l,0.0,0.155,0.12,0.02,0,0.84
 45.3,  0.5, 24.6, BF,5, 1.0, 1000, Q_l,0.0,0.155,0.26,0.01,0,0.7
 46.0,  0.5, 23.9, BF,5, 1.0, 1000, Q_l,0.0,0.155,0.38,0.01,0,0.925
 47.2,  0.5, 24.7, BF,5, 1.0, 1000, Q_l,0.0,0.155,0.45,0.01,0,0.695
 45.3,  0.5, 23.9, BF,5, 1.0, 1000, Q_l,0.0,0.155,0.46,0.01,0,0.78
 46.2,  0.5, 24.4, BF,5, 1.0, 1000, Q_l,0.0,0.155,0.65,0.01,0,0.925
 45.2,  0.5, 25.0, BF,5, 1.0, 1000, Q_l,0.0,0.16,0.145,0.015,0,0.51
 46.8,  0.5, 24.1, BF,5, 1.0, 1000, Q_l,0.0,0.175,0.22,0.02,0,0.55
 45.2,  0.5, 24.7, BF,5, 1.0, 1000, Q_l,0.0,0.175,0.22,0.02,0,0.75
 45.9,  0.5, 24.0, BF,5, 1.0, 1000, Q_l,0.0,0.175,0.22,0.02,0,0.8
 45.3,  0.5, 24.2, BF,5, 1.0, 1000, Q_l,0.0,0.175,0.22,0.02,0,0.88
 46.7,  0.5, 24.1, BF,5, 1.0, 1000, Q_l,0.0,0.175,0.37,0.02,0,0.88
 45.0,  0.5, 24.4, BF,5, 1.0, 1000, Q_l,0.0,0.175,0.485,0.01,0,0.93
 46.7,  0.5, 24.9, BF,5, 1.0, 1000, Q_l,0.0,0.195,0.295,0.02,0,0.7
 44.0,  0.5, 24.7, BF,5, 1.0, 1000, Q_l,0.0,0.205,0.35,0.015,0,0.97
 45.9,  0.5, 25.3, BF,5, 1.0, 1000, Q_l,0.0,0.215,0.29,0.015,0,0.68
 45.6,  0.5, 25.2, BF,5, 1.0, 1000, Q_l,0.0,0.225,0.18,0.01,0,0.83
 47.0,  0.5, 24.0, BF,5, 1.0, 1000, Q_l,0.0,0.24,0.315,0.02,0,0.74
 47.1,  0.5, 24.5, BF,5, 1.0, 1000, Q_l,0.0,0.24,0.845,0.005,0,0.9
 45.9,  0.5, 25.0, BF,5, 1.0, 1000, Q_l,0.0,0.245,0.455,0.005,0,0.74
 47.3,  0.5, 25.5, BF,5, 1.0, 1000, Q_l,0.0,0.245,0.58,0.005,0,0.74
 45.8,  0.5, 24.5, BF,5, 1.0, 1000, Q_l,0.0,0.25,0.485,0.015,0,0.925
 45.2,  0.5, 24.7, BF,5, 1.0, 1000, Q_l,0.0,0.255,0.08,0.02,0,0.8
 45.0,  0.5, 25.7, BF,5, 1.0, 1000, Q_l,0.0,0.255,0.305,0.005,0,0.8
 47.0,  0.5, 25.1, BF,5, 1.0, 1000, Q_l,0.0,0.255,0.49,0.01,0,0.825
 46.2,  0.5, 24.9, BF,5, 1.0, 1000, Q_l,0.0,0.255,0.82,0.005,0,0.95
