"AIQ","HCI","SD","BF","BFactions","D","EL","AGNT","InitialQ","Lambda","alpha","epsilon","EDL","gamma"
 45.5,  0.5, 24.7, BF,5, 1.0, 1000, Q_l,0.0,0.005,0.305,0.01,0,0.76
 45.2,  0.5, 23.8, BF,5, 1.0, 1000, Q_l,0.0,0.005,0.35,0.01,0,0.79
 44.5,  0.5, 24.6, BF,5, 1.0, 1000, Q_l,0.0,0.03,0.335,0.01,0,0.955
 44.1,  0.5, 23.8, BF,5, 1.0, 1000, Q_l,0.0,0.05,0.635,0.01,0,0.97
 44.3,  0.5, 24.5, BF,5, 1.0, 1000, Q_l,0.0,0.06,0.145,0.015,0,0.52
 43.9,  0.5, 24.9, BF,5, 1.0, 1000, Q_l,0.0,0.06,0.145,0.015,0,0.795
 46.1,  0.5, 23.9, BF,5, 1.0, 1000, Q_l,0.0,0.075,0.305,0.01,0,0.745
 46.2,  0.5, 24.7, BF,5, 1.0, 1000, Q_l,0.0,0.075,0.46,0.01,0,0.795
 43.9,  0.5, 25.0, BF,5, 1.0, 1000, Q_l,0.0,0.09,0.21,0.005,0,0.775
 43.6,  0.5, 23.9, BF,5, 1.0, 1000, Q_l,0.0,0.095,0.305,0.01,0,0.975
 43.8,  0.5, 24.1, BF,5, 1.0, 1000, Q_l,0.0,0.11,0.255,0.02,0,0.925
 45.5,  0.5, 23.9, BF,5, 1.0, 1000, Q_l,0.0,0.115,0.225,0.02,0,0.65
 44.4,  0.5, 25.3, BF,5, 1.0, 1000, Q_l,0.0,0.13,0.335,0.005,0,0.88
 45.4,  0.5, 25.0, BF,5, 1.0, 1000, Q_l,0.0,0.135,0.645,0.01,0,0.96
 45.4,  0.5, 24.6, BF,5, 1.0, 1000, Q_l,0.0,0.135,0.725,0.01,0,0.96
 44.2,  0.5, 25.1, BF,5, 1.0, 1000, Q_l,0.0,0.14,0.305,0.005,0,0.91
 46.0,  0.5, 24.6, BF,5, 1.0, 1000, Q_l,0.0,0.14,0.305,0.01,0,0.76
 43.5,  0.5, 24.5, BF,5, 1.0, 1000, Q_l,0.0,0.14,0.305,0.01,0,0.975
 43.4,  0.5, 24.4, BF,5, 1.0, 1000, Q_l,0.0,0.14,0.36,0.01,0,0.975
 46.0,  0.5, 24.8, BF,5, 1.0, 1000, Q_l,0.0,0.155,0.35,0.01,0,0.66
 45.7,  0.5, 23.9, BF,5, 1.0, 1000, Q_l,0.0,0.165,0.62,0.015,0,0.955
 45.5,  0.5, 25.3, BF,5, 1.0, 1000, Q_l,0.0,0.185,0.14,0.01,0,0.58
 43.1,  0.5, 24.5, BF,5, 1.0, 1000, Q_l,0.0,0.185,0.18,0.015,0,0.965
 46.3,  0.5, 24.0, BF,5, 1.0, 1000, Q_l,0.0,0.195,0.58,0.01,0,0.9
 43.9,  0.5, 25.1, BF,5, 1.0, 1000, Q_l,0.0,0.205,0.14,0.01,0,0.745
 43.9,  0.5, 25.4, BF,5, 1.0, 1000, Q_l,0.0,0.205,0.14,0.015,0,0.745
 44.7,  0.5, 24.9, BF,5, 1.0, 1000, Q_l,0.0,0.205,0.265,0.01,0,0.955
 43.7,  0.5, 24.6, BF,5, 1.0, 1000, Q_l,0.0,0.205,0.335,0.01,0,0.985
 45.0,  0.5, 24.9, BF,5, 1.0, 1000, Q_l,0.0,0.205,0.45,0.005,0,0.91
 48.3,  0.5, 24.2, BF,5, 1.0, 1000, Q_l,0.0,0.215,0.46,0.01,0,0.75
 45.4,  0.5, 25.0, BF,5, 1.0, 1000, Q_l,0.0,0.23,0.14,0.015,0,0.745
 44.9,  0.5, 24.8, BF,5, 1.0, 1000, Q_l,0.0,0.23,0.18,0.015,0,0.535
 45.0,  0.5, 24.7, BF,5, 1.0, 1000, Q_l,0.0,0.235,0.195,0.01,0,0.745
 46.7,  0.5, 24.6, BF,5, 1.0, 1000, Q_l,0.0,0.24,0.205,0.015,0,0.745
 47.2,  0.5, 24.5, BF,5, 1.0, 1000, Q_l,0.0,0.24,0.335,0.01,0,0.62
 45.7,  0.5, 25.2, BF,5, 1.0, 1000, Q_l,0.0,0.24,0.36,0.01,0,0.77
 45.4,  0.5, 26.0, BF,5, 1.0, 1000, Q_l,0.0,0.24,0.415,0.005,0,0.885
 46.4,  0.5, 24.8, BF,5, 1.0, 1000, Q_l,0.0,0.24,0.8,0.005,0,0.885
 45.0,  0.5, 24.3, BF,5, 1.0, 1000, Q_l,0.0,0.24,0.84,0.005,0,0.955
 46.3,  0.5, 25.3, BF,5, 1.0, 1000, Q_l,0.0,0.245,0.58,0.005,0,0.79
 47.2,  0.5, 25.3, BF,5, 1.0, 1000, Q_l,0.0,0.255,0.305,0.01,0,0.745
 44.4,  0.5, 25.0, BF,5, 1.0, 1000, Q_l,0.0,0.255,0.32,0.01,0,0.985
 47.4,  0.5, 24.8, BF,5, 1.0, 1000, Q_l,0.0,0.27,0.6,0.01,0,0.865
 45.2,  0.5, 25.2, BF,5, 1.0, 1000, Q_l,0.0,0.275,0.305,0.005,0,0.8
 44.9,  0.5, 25.1, BF,5, 1.0, 1000, Q_l,0.0,0.275,0.305,0.005,0,0.91
 44.2,  0.5, 24.8, BF,5, 1.0, 1000, Q_l,0.0,0.275,0.305,0.01,0,0.975
 45.2,  0.5, 24.4, BF,5, 1.0, 1000, Q_l,0.0,0.275,0.305,0.02,0,0.91
 46.0,  0.5, 25.3, BF,5, 1.0, 1000, Q_l,0.0,0.275,0.36,0.005,0,0.91
 45.7,  0.5, 25.6, BF,5, 1.0, 1000, Q_l,0.0,0.275,0.49,0.005,0,0.91
 45.7,  0.5, 25.1, BF,5, 1.0, 1000, Q_l,0.0,0.28,0.14,0.015,0,0.7
 45.1,  0.5, 25.2, BF,5, 1.0, 1000, Q_l,0.0,0.28,0.14,0.015,0,0.745
 46.5,  0.5, 24.5, BF,5, 1.0, 1000, Q_l,0.0,0.29,0.205,0.02,0,0.535
 45.8,  0.5, 25.9, BF,5, 1.0, 1000, Q_l,0.0,0.29,0.22,0.005,0,0.755
 45.7,  0.5, 25.5, BF,5, 1.0, 1000, Q_l,0.0,0.295,0.16,0.015,0,0.755
 47.4,  0.5, 24.6, BF,5, 1.0, 1000, Q_l,0.0,0.3,0.375,0.01,0,0.63
 45.4,  0.5, 25.7, BF,5, 1.0, 1000, Q_l,0.0,0.305,0.14,0.01,0,0.785
 45.9,  0.5, 25.7, BF,5, 1.0, 1000, Q_l,0.0,0.305,0.205,0.015,0,0.785
 45.2,  0.5, 25.8, BF,5, 1.0, 1000, Q_l,0.0,0.305,0.305,0.005,0,0.91
 46.8,  0.5, 25.6, BF,5, 1.0, 1000, Q_l,0.0,0.305,0.535,0.005,0,0.745
 45.7,  0.5, 25.5, BF,5, 1.0, 1000, Q_l,0.0,0.315,0.265,0.01,0,0.585
 47.3,  0.5, 25.4, BF,5, 1.0, 1000, Q_l,0.0,0.335,0.485,0.005,0,0.675
 45.9,  0.5, 25.7, BF,5, 1.0, 1000, Q_l,0.0,0.335,0.485,0.005,0,0.88
 45.4,  0.5, 25.2, BF,5, 1.0, 1000, Q_l,0.0,0.34,0.385,0.005,0,0.885
 45.8,  0.5, 26.0, BF,5, 1.0, 1000, Q_l,0.0,0.34,0.575,0.005,0,0.89
 46.5,  0.5, 24.6, BF,5, 1.0, 1000, Q_l,0.0,0.35,0.125,0.02,0,0.52
 45.6,  0.5, 25.2, BF,5, 1.0, 1000, Q_l,0.0,0.35,0.14,0.02,0,0.76
 45.2,  0.5, 25.0, BF,5, 1.0, 1000, Q_l,0.0,0.35,0.14,0.03,0,0.635
 45.8,  0.5, 25.2, BF,5, 1.0, 1000, Q_l,0.0,0.355,0.27,0.015,0,0.91
 45.9,  0.5, 24.6, BF,5, 1.0, 1000, Q_l,0.0,0.36,0.115,0.02,0,0.63
 47.3,  0.5, 24.8, BF,5, 1.0, 1000, Q_l,0.0,0.36,0.665,0.005,0,0.795
 45.9,  0.5, 25.7, BF,5, 1.0, 1000, Q_l,0.0,0.365,0.36,0.005,0,0.91
 46.1,  0.5, 24.8, BF,5, 1.0, 1000, Q_l,0.0,0.37,0.14,0.015,0,0.75
 47.0,  0.5, 25.9, BF,5, 1.0, 1000, Q_l,0.0,0.375,0.335,0.01,0,0.62
 45.5,  0.5, 25.4, BF,5, 1.0, 1000, Q_l,0.0,0.375,0.335,0.01,0,0.985
